caracteres, tempo (ms), tamanho (kb)
0, 249,1.252
1, 176,1.238
2, 81,1.234
3, 64,839
4, 73,838
5, 93,834
6, 62,832
7, 55,576
8, 56,576
9, 53,574
10, 49,573
11, 49,446
12, 46,445
13, 59,444
14, 66,443
15, 43,367
16, 60,367
17, 46,366
18, 42,365
19, 40,315
20, 43,315
21, 40,314
22, 40,313
23, 41,278
24, 39,278
25, 39,277
26, 39,276
27, 45,250
28, 38,249
29, 38,249
30, 41,249
31, 40,228
32, 38,228
33, 41,227
34, 36,227
35, 36,228
36, 35,227
37, 36,227
38, 36,227
39, 36,212
40, 39,212
41, 39,212
42, 36,211
43, 36,199
44, 35,199
45, 35,198
46, 36,199
47, 37,188
48, 37,188
49, 36,188
50, 36,187
51, 37,179
52, 35,179
53, 35,178
54, 35,178
55, 36,170
56, 35,170
57, 36,170
58, 35,170
59, 35,163
60, 37,163
61, 36,163
62, 35,163
63, 35,157
64, 34,157
65, 34,157
66, 35,156
67, 33,152
68, 33,151
69, 33,151
70, 35,151
71, 34,146
72, 34,146
73, 33,146
74, 33,146
75, 34,142
76, 33,142
77, 36,141
78, 34,142
79, 34,138
80, 33,138
81, 34,137
82, 35,137
83, 33,134
84, 35,134
85, 33,134
86, 34,134
87, 34,131
88, 34,130
89, 34,130
90, 35,130
91, 34,127
92, 34,127
93, 35,127
94, 37,127
95, 37,125
96, 34,125
97, 33,125
98, 34,124
99, 33,122
100, 33,122
101, 35,122
102, 33,122
103, 34,120
104, 34,120
105, 34,120
106, 33,119
107, 33,117
108, 33,117
109, 34,117
110, 34,117
111, 32,115
112, 33,115
113, 33,115
114, 34,115
115, 32,113
116, 33,113
117, 33,113
118, 34,113
119, 34,111
120, 33,111
121, 35,111
122, 36,111
123, 33,110
124, 39,110
125, 36,109
126, 34,109
127, 34,108
128, 33,108
129, 33,108
130, 33,108
131, 33,106
132, 32,107
133, 32,106
134, 33,106
135, 33,105
136, 33,105
137, 34,105
138, 34,105
139, 33,103
140, 33,104
141, 31,104
142, 33,103
143, 34,102
144, 35,103
145, 32,102
146, 32,102
147, 33,101
148, 33,101
149, 33,101
150, 36,101
151, 33,100
152, 33,100
153, 34,100
154, 33,100
155, 34,99
156, 33,99
157, 33,99
158, 33,99
159, 34,98
160, 33,98
161, 33,98
162, 32,98
163, 34,97
164, 33,97
165, 33,97
166, 34,97
167, 34,96
168, 32,96
169, 32,96
170, 33,96
171, 34,95
172, 35,95
173, 32,95
174, 32,95
175, 33,94
176, 32,94
177, 33,94
178, 33,94
179, 38,93
180, 32,93
181, 33,93
182, 47,93
183, 46,92
184, 35,93
185, 34,92
186, 33,92
187, 35,92
188, 34,92
189, 33,92
190, 32,92
191, 33,91
192, 32,91
193, 32,91
194, 33,91
195, 32,90
196, 32,90
197, 33,90
198, 33,90
199, 32,90
200, 31,90
201, 31,90
202, 32,90
203, 31,89
204, 31,89
205, 32,89
206, 33,89
207, 35,88
208, 35,88
209, 32,88
210, 32,88
211, 32,88
212, 32,88
213, 32,88
214, 32,88
215, 32,87
216, 32,87
217, 32,87
218, 31,87
219, 32,87
220, 32,87
221, 31,87
222, 31,87
223, 33,86
224, 32,86
225, 32,86
226, 31,86
227, 32,86
228, 32,86
229, 35,85
230, 33,85
231, 33,85
232, 32,85
233, 31,85
234, 32,85
235, 32,85
236, 33,85
237, 32,85
238, 38,85
239, 32,84
240, 32,84
241, 32,84
242, 33,84
243, 32,84
244, 31,84
245, 33,84
246, 31,84
247, 31,83
248, 31,83
249, 33,83
250, 32,83
251, 32,83
252, 33,83
253, 34,83
254, 33,83
255, 38,82
256, 32,82
257, 31,82
258, 31,82
259, 33,82
260, 34,82
261, 34,82
262, 36,82
263, 33,82
264, 32,82
265, 33,82
266, 33,82
267, 31,81
268, 33,81
269, 33,81
270, 33,81
271, 32,81
272, 34,81
273, 33,81
274, 32,81
275, 31,81
276, 32,80
277, 37,80
278, 42,80
279, 34,80
280, 32,80
281, 32,80
282, 32,80
283, 32,80
284, 32,80
285, 32,80
286, 32,80
287, 31,79
288, 32,79
289, 33,80
290, 32,79
291, 32,79
292, 32,79
293, 32,79
294, 31,79
295, 31,79
296, 32,79
297, 35,79
298, 32,79
299, 34,79
300, 35,79
301, 33,78
302, 33,79
303, 32,78
304, 32,78
305, 34,78
306, 32,78
307, 32,78
308, 33,78
309, 32,78
310, 31,78
311, 34,78
312, 32,78
313, 31,78
314, 32,78
315, 33,77
316, 32,77
317, 33,77
318, 32,77
319, 32,77
320, 31,77
321, 32,77
322, 32,77
323, 31,77
324, 32,77
325, 32,77
326, 32,77
327, 35,77
328, 42,77
329, 34,77
330, 32,77
331, 32,77
332, 32,77
333, 33,76
334, 36,76
335, 32,76
336, 32,76
337, 32,76
338, 32,76
339, 31,76
340, 34,76
341, 32,76
342, 32,76
343, 42,76
344, 33,76
345, 32,76
346, 32,76
347, 32,76
348, 31,75
349, 33,76
350, 31,76
351, 31,75
352, 32,75
353, 31,75
354, 31,75
355, 32,75
356, 41,75
357, 45,75
358, 36,75
359, 34,75
360, 32,75
361, 32,75
362, 31,75
363, 32,75
364, 35,75
365, 34,75
366, 33,75
367, 33,74
368, 32,74
369, 34,74
370, 34,75
371, 32,74
372, 32,74
373, 32,74
374, 39,74
375, 32,74
376, 32,74
377, 36,74
378, 32,74
379, 31,74
380, 33,74
381, 32,74
382, 32,74
383, 32,74
384, 33,74
385, 32,74
386, 32,74
387, 33,74
388, 32,74
389, 33,74
390, 32,73
391, 33,73
392, 32,73
393, 34,73
394, 32,73
395, 33,74
396, 33,74
397, 32,74
398, 33,74
399, 32,74
400, 32,74
401, 33,74
402, 33,74
403, 32,74
404, 33,74
405, 33,74
406, 33,74
407, 32,74
408, 32,74
409, 31,74
410, 32,74
411, 31,73
412, 32,73
413, 32,74
414, 32,73
415, 34,73
416, 32,73
417, 32,73
418, 34,73
419, 34,73
420, 33,73
421, 33,73
422, 32,73
423, 32,73
424, 33,73
425, 32,73
426, 32,73
427, 32,73
428, 31,73
429, 36,73
430, 36,73
431, 32,73
432, 33,73
433, 33,73
434, 32,73
435, 33,73
436, 32,72
437, 33,72
438, 32,73
439, 31,72
440, 32,72
441, 32,72
442, 32,72
443, 32,72
444, 31,72
445, 32,72
446, 31,72
447, 32,72
448, 33,72
449, 33,72
450, 35,72
451, 33,72
452, 32,72
453, 32,72
454, 32,72
455, 33,72
456, 33,72
457, 32,72
458, 40,72
459, 33,72
460, 32,72
461, 33,72
462, 38,71
463, 31,71
464, 32,71
465, 32,71
466, 33,72
467, 32,71
468, 35,71
469, 35,71
470, 32,71
471, 39,71
472, 32,71
473, 31,71
474, 31,71
475, 32,71
476, 33,71
477, 31,71
478, 33,71
479, 33,71
480, 33,71
481, 32,71
482, 33,71
483, 32,71
484, 33,71
485, 32,71
486, 32,71
487, 33,71
488, 32,71
489, 33,71
490, 32,71
491, 31,71
492, 33,71
493, 35,71
494, 33,71
495, 32,71
496, 33,70
497, 33,71
498, 32,71
499, 33,70
500, 33,70
501, 33,70
502, 33,70
503, 33,70
504, 33,70
505, 35,70
506, 33,70
507, 32,70
508, 32,70
509, 33,70
510, 33,70
511, 33,70
512, 31,70
513, 32,70
514, 41,70
515, 33,70
516, 32,70
517, 30,70
518, 32,70
519, 33,70
520, 32,70
521, 33,70
522, 34,70
523, 33,70
524, 34,70
525, 33,70
526, 34,70
527, 33,70
528, 33,70
529, 35,70
530, 33,70
531, 33,70
532, 33,70
533, 33,70
534, 32,70
535, 32,70
536, 32,70
537, 32,69
538, 32,70
539, 33,69
540, 32,69
541, 33,69
542, 32,69
543, 33,69
544, 32,69
545, 33,69
546, 33,69
547, 33,69
548, 33,69
549, 32,69
550, 33,69
551, 33,69
552, 33,69
553, 32,69
554, 31,69
555, 36,69
556, 32,69
557, 33,69
558, 33,69
559, 33,69
560, 32,69
561, 31,69
562, 44,69
563, 33,69
564, 33,69
565, 32,69
566, 32,69
567, 32,69
568, 32,69
569, 33,69
570, 33,69
571, 33,69
572, 33,69
573, 33,69
574, 33,69
575, 34,69
576, 34,69
577, 33,69
578, 37,69
579, 31,69
580, 32,69
581, 42,69
582, 34,69
583, 33,68
584, 33,68
585, 34,69
586, 32,68
587, 33,68
588, 32,68
589, 34,68
590, 32,68
591, 33,68
592, 34,69
593, 32,68
594, 34,68
595, 32,68
596, 34,68
597, 36,68
598, 34,68
599, 32,68
600, 32,68
601, 32,68
602, 34,68
603, 33,68
604, 34,68
605, 35,68
606, 33,68
607, 33,68
608, 32,68
609, 34,68
610, 32,68
611, 32,68
612, 34,68
613, 33,68
614, 35,68
615, 33,68
616, 34,68
617, 32,68
618, 39,68
619, 32,68
620, 32,68
621, 32,68
622, 31,68
623, 32,68
624, 32,68
625, 33,68
626, 32,68
627, 33,68
628, 32,68
629, 36,68
630, 34,68
631, 34,68
